#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714655E-02   0.167716E+08   0.167664E+08  -0.792495E+04  -0.792497E+04   0.125544E+08   0.167518E+08   0.167708E+08   0.167518E+08  -0.400184E+00   0.884532E+07   0.884527E+07   0.230275E+01
   0.738878E-02   0.166582E+08   0.166526E+08  -0.736423E+04  -0.736425E+04   0.123365E+08   0.166378E+08   0.166573E+08   0.166378E+08  -0.397462E+00   0.878525E+07   0.878520E+07   0.235857E+01
   0.763923E-02   0.165415E+08   0.165356E+08  -0.684155E+04  -0.684157E+04   0.121158E+08   0.165207E+08   0.165406E+08   0.165207E+08  -0.394662E+00   0.872348E+07   0.872343E+07   0.241535E+01
   0.789816E-02   0.164214E+08   0.164151E+08  -0.635431E+04  -0.635432E+04   0.118925E+08   0.164000E+08   0.164204E+08   0.164000E+08  -0.391779E+00   0.865986E+07   0.865980E+07   0.247306E+01
   0.816587E-02   0.162981E+08   0.162915E+08  -0.590034E+04  -0.590035E+04   0.116674E+08   0.162762E+08   0.162971E+08   0.162762E+08  -0.388823E+00   0.859462E+07   0.859456E+07   0.253169E+01
   0.844265E-02   0.161715E+08   0.161645E+08  -0.547736E+04  -0.547738E+04   0.114404E+08   0.161491E+08   0.161704E+08   0.161491E+08  -0.385786E+00   0.852760E+07   0.852754E+07   0.259118E+01
   0.872882E-02   0.160415E+08   0.160340E+08  -0.508333E+04  -0.508334E+04   0.112116E+08   0.160186E+08   0.160404E+08   0.160186E+08  -0.382668E+00   0.845879E+07   0.845872E+07   0.265151E+01
   0.902468E-02   0.159081E+08   0.159001E+08  -0.471632E+04  -0.471633E+04   0.109811E+08   0.158846E+08   0.159068E+08   0.158846E+08  -0.379468E+00   0.838816E+07   0.838808E+07   0.271262E+01
   0.933057E-02   0.157711E+08   0.157626E+08  -0.437453E+04  -0.437455E+04   0.107486E+08   0.157472E+08   0.157698E+08   0.157472E+08  -0.376184E+00   0.831568E+07   0.831560E+07   0.277445E+01
   0.964683E-02   0.156307E+08   0.156217E+08  -0.405633E+04  -0.405634E+04   0.105141E+08   0.156062E+08   0.156293E+08   0.156062E+08  -0.372817E+00   0.824137E+07   0.824129E+07   0.283694E+01
   0.997381E-02   0.154866E+08   0.154771E+08  -0.376008E+04  -0.376009E+04   0.102775E+08   0.154616E+08   0.154851E+08   0.154616E+08  -0.369363E+00   0.816513E+07   0.816505E+07   0.290001E+01
   0.103119E-01   0.153389E+08   0.153288E+08  -0.348435E+04  -0.348436E+04   0.100390E+08   0.153134E+08   0.153373E+08   0.153134E+08  -0.365822E+00   0.808697E+07   0.808688E+07   0.296357E+01
   0.106614E-01   0.151875E+08   0.151767E+08  -0.322776E+04  -0.322777E+04   0.979870E+07   0.151615E+08   0.151858E+08   0.151615E+08  -0.362193E+00   0.800686E+07   0.800677E+07   0.302753E+01
   0.110228E-01   0.150323E+08   0.150209E+08  -0.298903E+04  -0.298903E+04   0.955699E+07   0.150058E+08   0.150305E+08   0.150058E+08  -0.358475E+00   0.792478E+07   0.792468E+07   0.309178E+01
