#           k/h    P           
   0.420980E-02   0.130443E+05
   0.429484E-02   0.132376E+05
   0.438160E-02   0.134323E+05
   0.447012E-02   0.136285E+05
   0.456042E-02   0.138259E+05
   0.465255E-02   0.140247E+05
   0.474653E-02   0.142247E+05
   0.484242E-02   0.144259E+05
   0.494024E-02   0.146282E+05
   0.504004E-02   0.148315E+05
   0.514186E-02   0.150359E+05
   0.524573E-02   0.152411E+05
   0.535170E-02   0.154472E+05
   0.545981E-02   0.156541E+05
   0.557011E-02   0.158616E+05
   0.568263E-02   0.160697E+05
   0.579743E-02   0.162782E+05
   0.591455E-02   0.164875E+05
   0.603403E-02   0.166973E+05
   0.615592E-02   0.169069E+05
   0.628028E-02   0.171165E+05
   0.640715E-02   0.173261E+05
   0.653658E-02   0.175356E+05
   0.666863E-02   0.177448E+05
   0.680335E-02   0.179537E+05
   0.694078E-02   0.181621E+05
   0.708100E-02   0.183698E+05
   0.722404E-02   0.185768E+05
   0.736998E-02   0.187829E+05
   0.751886E-02   0.189880E+05
   0.767075E-02   0.191917E+05
   0.782571E-02   0.193938E+05
   0.798380E-02   0.195946E+05
   0.814509E-02   0.197939E+05
   0.830963E-02   0.199913E+05
   0.847750E-02   0.201867E+05
   0.864875E-02   0.203799E+05
   0.882347E-02   0.205707E+05
   0.900171E-02   0.207590E+05
   0.918356E-02   0.209445E+05
   0.936908E-02   0.211271E+05
   0.955835E-02   0.213067E+05
   0.975144E-02   0.214828E+05
   0.994843E-02   0.216553E+05
   0.101494E-01   0.218240E+05
   0.103544E-01   0.219887E+05
   0.105636E-01   0.221492E+05
   0.107770E-01   0.223052E+05
   0.109947E-01   0.224564E+05
   0.112168E-01   0.226027E+05
   0.114434E-01   0.227438E+05
   0.116746E-01   0.228795E+05
   0.119104E-01   0.230095E+05
   0.121510E-01   0.231336E+05
   0.123965E-01   0.232514E+05
   0.126469E-01   0.233629E+05
   0.129024E-01   0.234676E+05
   0.131631E-01   0.235654E+05
   0.134290E-01   0.236559E+05
   0.137003E-01   0.237390E+05
   0.139770E-01   0.238143E+05
   0.142594E-01   0.238816E+05
   0.145474E-01   0.239406E+05
   0.148413E-01   0.239911E+05
   0.151411E-01   0.240328E+05
   0.154470E-01   0.240655E+05
   0.157590E-01   0.240890E+05
   0.160774E-01   0.241029E+05
   0.164022E-01   0.241071E+05
   0.167335E-01   0.241014E+05
   0.170716E-01   0.240855E+05
   0.174164E-01   0.240592E+05
   0.177683E-01   0.240224E+05
   0.181272E-01   0.239749E+05
   0.184934E-01   0.239165E+05
   0.188670E-01   0.238472E+05
   0.192481E-01   0.237666E+05
   0.196370E-01   0.236749E+05
   0.200337E-01   0.235718E+05
   0.204384E-01   0.234573E+05
   0.208513E-01   0.233315E+05
   0.212725E-01   0.231942E+05
   0.217022E-01   0.230456E+05
   0.221406E-01   0.228857E+05
   0.225879E-01   0.227145E+05
   0.230442E-01   0.225322E+05
   0.235097E-01   0.223389E+05
   0.239847E-01   0.221349E+05
   0.244692E-01   0.219203E+05
   0.249635E-01   0.216955E+05
   0.254678E-01   0.214607E+05
   0.259823E-01   0.212164E+05
   0.265072E-01   0.209628E+05
   0.270426E-01   0.207005E+05
   0.275889E-01   0.204300E+05
   0.281463E-01   0.201517E+05
   0.287149E-01   0.198662E+05
   0.292949E-01   0.195741E+05
   0.298867E-01   0.192762E+05
   0.304905E-01   0.189730E+05
   0.311064E-01   0.186654E+05
   0.317348E-01   0.183540E+05
   0.323759E-01   0.180396E+05
   0.330299E-01   0.177232E+05
   0.336972E-01   0.174055E+05
   0.343779E-01   0.170874E+05
   0.350724E-01   0.167696E+05
   0.357809E-01   0.164535E+05
   0.365038E-01   0.161393E+05
   0.372412E-01   0.158267E+05
   0.379935E-01   0.155163E+05
   0.387610E-01   0.152092E+05
   0.395440E-01   0.149075E+05
   0.403429E-01   0.146124E+05
   0.411579E-01   0.143245E+05
   0.419893E-01   0.140448E+05
   0.428375E-01   0.137739E+05
   0.437029E-01   0.135123E+05
   0.445858E-01   0.132606E+05
   0.454865E-01   0.130189E+05
   0.464053E-01   0.127875E+05
   0.473428E-01   0.125663E+05
   0.482992E-01   0.123550E+05
   0.492749E-01   0.121535E+05
   0.502703E-01   0.119612E+05
   0.512858E-01   0.117777E+05
   0.523219E-01   0.116023E+05
   0.533789E-01   0.114342E+05
   0.544572E-01   0.112730E+05
   0.555573E-01   0.111182E+05
   0.566796E-01   0.109676E+05
   0.578246E-01   0.108211E+05
   0.589927E-01   0.106837E+05
   0.601845E-01   0.105537E+05
   0.614003E-01   0.104233E+05
   0.626407E-01   0.102881E+05
   0.639061E-01   0.101502E+05
   0.651971E-01   0.100111E+05
   0.665142E-01   0.986853E+04
   0.678578E-01   0.971965E+04
   0.692287E-01   0.956296E+04
   0.706272E-01   0.939743E+04
   0.720539E-01   0.922201E+04
   0.735095E-01   0.903588E+04
   0.749945E-01   0.883882E+04
   0.765095E-01   0.863106E+04
   0.780551E-01   0.841345E+04
   0.796319E-01   0.818719E+04
   0.812406E-01   0.795390E+04
   0.828817E-01   0.771553E+04
   0.845561E-01   0.747423E+04
   0.862642E-01   0.723220E+04
