#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714655E-02   0.167717E+08   0.167665E+08  -0.792500E+04  -0.792503E+04   0.125548E+08   0.167519E+08   0.167709E+08   0.167519E+08  -0.400187E+00   0.884538E+07   0.884533E+07   0.230273E+01
   0.738878E-02   0.166583E+08   0.166528E+08  -0.736428E+04  -0.736431E+04   0.123369E+08   0.166380E+08   0.166574E+08   0.166380E+08  -0.397465E+00   0.878531E+07   0.878526E+07   0.235855E+01
   0.763923E-02   0.165417E+08   0.165358E+08  -0.684160E+04  -0.684162E+04   0.121162E+08   0.165208E+08   0.165407E+08   0.165208E+08  -0.394665E+00   0.872355E+07   0.872349E+07   0.241533E+01
   0.789816E-02   0.164215E+08   0.164152E+08  -0.635435E+04  -0.635437E+04   0.118929E+08   0.164001E+08   0.164205E+08   0.164001E+08  -0.391783E+00   0.865993E+07   0.865987E+07   0.247305E+01
   0.816587E-02   0.162983E+08   0.162916E+08  -0.590039E+04  -0.590040E+04   0.116678E+08   0.162764E+08   0.162972E+08   0.162764E+08  -0.388826E+00   0.859469E+07   0.859462E+07   0.253168E+01
   0.844265E-02   0.161717E+08   0.161646E+08  -0.547741E+04  -0.547742E+04   0.114408E+08   0.161492E+08   0.161706E+08   0.161492E+08  -0.385789E+00   0.852767E+07   0.852761E+07   0.259117E+01
   0.872882E-02   0.160417E+08   0.160341E+08  -0.508337E+04  -0.508338E+04   0.112120E+08   0.160187E+08   0.160405E+08   0.160187E+08  -0.382672E+00   0.845886E+07   0.845879E+07   0.265150E+01
   0.902468E-02   0.159082E+08   0.159002E+08  -0.471636E+04  -0.471637E+04   0.109815E+08   0.158848E+08   0.159070E+08   0.158848E+08  -0.379471E+00   0.838823E+07   0.838816E+07   0.271261E+01
   0.933057E-02   0.157713E+08   0.157628E+08  -0.437457E+04  -0.437459E+04   0.107490E+08   0.157473E+08   0.157699E+08   0.157473E+08  -0.376187E+00   0.831575E+07   0.831568E+07   0.277444E+01
   0.964683E-02   0.156309E+08   0.156218E+08  -0.405637E+04  -0.405638E+04   0.105145E+08   0.156064E+08   0.156294E+08   0.156064E+08  -0.372821E+00   0.824145E+07   0.824137E+07   0.283693E+01
   0.997381E-02   0.154868E+08   0.154772E+08  -0.376012E+04  -0.376013E+04   0.102779E+08   0.154618E+08   0.154853E+08   0.154618E+08  -0.369367E+00   0.816521E+07   0.816513E+07   0.290000E+01
   0.103119E-01   0.153390E+08   0.153289E+08  -0.348438E+04  -0.348439E+04   0.100394E+08   0.153136E+08   0.153374E+08   0.153136E+08  -0.365826E+00   0.808705E+07   0.808696E+07   0.296357E+01
   0.106614E-01   0.151876E+08   0.151769E+08  -0.322779E+04  -0.322780E+04   0.979910E+07   0.151617E+08   0.151859E+08   0.151617E+08  -0.362197E+00   0.800695E+07   0.800685E+07   0.302753E+01
   0.110228E-01   0.150325E+08   0.150211E+08  -0.298906E+04  -0.298907E+04   0.955739E+07   0.150060E+08   0.150307E+08   0.150060E+08  -0.358478E+00   0.792487E+07   0.792477E+07   0.309177E+01
   0.113964E-01   0.148735E+08   0.148614E+08  -0.276698E+04  -0.276699E+04   0.931454E+07   0.148465E+08   0.148716E+08   0.148465E+08  -0.354669E+00   0.784078E+07   0.784067E+07   0.315618E+01
   0.117827E-01   0.147107E+08   0.146979E+08  -0.256045E+04  -0.256046E+04   0.907088E+07   0.146833E+08   0.147087E+08   0.146833E+08  -0.350769E+00   0.775468E+07   0.775456E+07   0.322061E+01
   0.121820E-01   0.145441E+08   0.145305E+08  -0.236843E+04  -0.236843E+04   0.882622E+07   0.145162E+08   0.145419E+08   0.145162E+08  -0.346777E+00   0.766654E+07   0.766642E+07   0.328491E+01
   0.125950E-01   0.143735E+08   0.143592E+08  -0.218992E+04  -0.218992E+04   0.858191E+07   0.143452E+08   0.143712E+08   0.143452E+08  -0.342691E+00   0.757634E+07   0.757622E+07   0.334891E+01
   0.130219E-01   0.141990E+08   0.141839E+08  -0.202402E+04  -0.202403E+04   0.833772E+07   0.141702E+08   0.141966E+08   0.141702E+08  -0.338512E+00   0.748407E+07   0.748394E+07   0.341241E+01
   0.134632E-01   0.140205E+08   0.140045E+08  -0.186988E+04  -0.186988E+04   0.809382E+07   0.139913E+08   0.140180E+08   0.139913E+08  -0.334238E+00   0.738970E+07   0.738956E+07   0.347522E+01
   0.139196E-01   0.138380E+08   0.138211E+08  -0.172670E+04  -0.172670E+04   0.785028E+07   0.138084E+08   0.138354E+08   0.138084E+08  -0.329868E+00   0.729322E+07   0.729307E+07   0.353709E+01
   0.143914E-01   0.136515E+08   0.136337E+08  -0.159374E+04  -0.159374E+04   0.760707E+07   0.136215E+08   0.136487E+08   0.136215E+08  -0.325403E+00   0.719461E+07   0.719446E+07   0.359779E+01
   0.148792E-01   0.134609E+08   0.134422E+08  -0.147030E+04  -0.147031E+04   0.736426E+07   0.134305E+08   0.134580E+08   0.134305E+08  -0.320841E+00   0.709388E+07   0.709372E+07   0.365704E+01
   0.153835E-01   0.132663E+08   0.132465E+08  -0.135574E+04  -0.135574E+04   0.712214E+07   0.132355E+08   0.132632E+08   0.132355E+08  -0.316183E+00   0.699101E+07   0.699084E+07   0.371454E+01
   0.159049E-01   0.130676E+08   0.130468E+08  -0.124945E+04  -0.124945E+04   0.688119E+07   0.130365E+08   0.130644E+08   0.130365E+08  -0.311429E+00   0.688601E+07   0.688583E+07   0.376997E+01
   0.164440E-01   0.128649E+08   0.128430E+08  -0.115087E+04  -0.115087E+04   0.664189E+07   0.128334E+08   0.128615E+08   0.128334E+08  -0.306578E+00   0.677888E+07   0.677869E+07   0.382299E+01
   0.170014E-01   0.126582E+08   0.126351E+08  -0.105946E+04  -0.105946E+04   0.640456E+07   0.126264E+08   0.126546E+08   0.126264E+08  -0.301631E+00   0.666963E+07   0.666943E+07   0.387322E+01
   0.175777E-01   0.124474E+08   0.124232E+08  -0.974742E+03  -0.974745E+03   0.616934E+07   0.124154E+08   0.124436E+08   0.124154E+08  -0.296590E+00   0.655828E+07   0.655808E+07   0.392028E+01
